2020/10/22 15:39:03 Simple-HTTP v0.5.0 started to serve '.' folder on port: 8082
2020/10/22 15:55:07 Elapsed time 33.803µs 	     GET 	 /style.css
2020/10/22 15:55:07 Elapsed time 39.309µs 	     GET 	 /favicon.ico
2020/10/22 15:55:10 Elapsed time 6.098082ms 	     GET 	 /
2020/10/22 15:55:10 Elapsed time 40.254µs 	     GET 	 /style.css
2020/10/22 15:55:10 Elapsed time 175.57µs 	     GET 	 /favicon.ico
2020/10/22 15:55:11 Elapsed time 196.936µs 	     GET 	 /
2020/10/22 15:55:11 Elapsed time 23.961µs 	     GET 	 /style.css
2020/10/22 15:55:11 Elapsed time 35.246µs 	     GET 	 /favicon.ico
2020/10/22 15:55:16 Elapsed time 207.872µs 	     GET 	 /
2020/10/22 15:55:16 Elapsed time 34.182µs 	     GET 	 /style.css
2020/10/22 15:55:16 Elapsed time 52.624µs 	     GET 	 /favicon.ico
2020/10/22 15:56:01 Elapsed time 391.887µs 	     GET 	 /
2020/10/22 15:56:01 Elapsed time 33.671µs 	     GET 	 /style.css
2020/10/22 15:56:01 Elapsed time 32.223µs 	     GET 	 /favicon.ico
2020/10/22 15:56:08 Elapsed time 28.897µs 	     GET 	 /style.css
2020/10/22 15:56:08 Elapsed time 36.574µs 	     GET 	 /style.css
2020/10/22 15:56:10 Elapsed time 270.63µs 	     GET 	 /
2020/10/22 15:56:10 Elapsed time 33.21µs 	     GET 	 /style.css
2020/10/22 15:56:10 Elapsed time 45.994µs 	     GET 	 /favicon.ico
2020/10/22 15:56:10 Elapsed time 46.85µs 	     GET 	 /style.css
2020/10/22 15:56:10 Elapsed time 26.309µs 	     GET 	 /style.css
2020/10/22 15:56:16 Elapsed time 309.543µs 	     GET 	 /
2020/10/22 15:56:16 Elapsed time 28.209µs 	     GET 	 /style.css
2020/10/22 15:56:16 Elapsed time 26.742µs 	     GET 	 /favicon.ico
2020/10/22 15:56:16 Elapsed time 88.923µs 	     GET 	 /style.css
2020/10/22 15:56:16 Elapsed time 23.927µs 	     GET 	 /style.css
2020/10/22 15:58:22 Elapsed time 1.418065ms 	     GET 	 /
2020/10/22 15:58:22 Elapsed time 318.36µs 	     GET 	 /style.css
2020/10/22 15:58:22 Elapsed time 45.225µs 	     GET 	 /favicon.ico
2020/10/22 15:58:33 Elapsed time 1.386845ms 	     GET 	 /2020-06-08.html
2020/10/22 15:58:33 Elapsed time 494.403µs 	     GET 	 /style.css
2020/10/22 15:58:34 Elapsed time 25.787µs 	     GET 	 /favicon.ico
2020/10/22 15:58:51 Elapsed time 31.516µs 	     GET 	 /favicon.ico
2020/10/22 16:23:15 Elapsed time 1.351993ms 	     GET 	 /
2020/10/22 16:23:15 Elapsed time 46.277264ms 	     GET 	 /style.css
2020/10/22 16:23:16 Elapsed time 95.753µs 	     GET 	 /favicon.ico
